"numer_adres";"stan_zdrowia";"y_wgs84";"dzielnica";"adres";"lokalizacja";"wiek_w_dni";"srednica_k";"pnie_obwod";"miasto";"jednostka";"x_pl2000";"wysokosc";"y_pl2000";"numer_inw";"﻿x_wgs84";"_id";"gatunek_1";"gatunek";"data_wyk_pom"
"";"średni";"52.25998";"Praga Północ";"ul. ŁOCHOWSKA";"Ulica ŁOCHOWSKA";"30";"7";"92";"Warszawa";"Dzielnica Praga Północ";"7503904";"8";"5791827.00181818";"D209691";"21.057181";5418;"Acer negundo";"klon jesionolistny";"20110801"
"";"dobry";"52.260328";"Praga Północ";"ul. ŁOCHOWSKA";"Ulica ŁOCHOWSKA";"40";"7";"124";"Warszawa";"Dzielnica Praga Północ";"7503985.6979021";"15";"5791865.75006993";"D209692";"21.058378";5419;"Acer platanoides";"klon pospolity";"20110801"
"";"średni";"52.26039";"Praga Północ";"ul. ŁOCHOWSKA";"Ulica ŁOCHOWSKA";"40";"10";"122";"Warszawa";"Dzielnica Praga Północ";"7504000.6979021";"17";"5791872.75006993";"D209693";"21.058598";5420;"Acer platanoides";"klon pospolity";"20110801"
"";"średni";"52.128217";"Ursynów";"ul. RYBAŁTÓW";"Ulica RYBAŁTÓW";"0";"4";"58";"Warszawa";"Dzielnica Ursynów";"7503815.96461539";"6";"5777166.70965035";"D212093";"21.055727";7751;"Tilia cordata";"lipa drobnolistna";"20110728"
"";"średni";"52.260415";"Praga Północ";"ul. ŁOCHOWSKA";"Ulica ŁOCHOWSKA";"40";"10";"130";"Warszawa";"Dzielnica Praga Północ";"7504006.8993007";"17";"5791875.49832168";"D209694";"21.058689";5421;"Acer platanoides";"klon pospolity";"20110801"
"";"średni";"52.260446";"Praga Północ";"ul. ŁOCHOWSKA";"Ulica ŁOCHOWSKA";"40";"8";"144";"Warszawa";"Dzielnica Praga Północ";"7504016";"17";"5791879.00181818";"D209695";"21.058822";5422;"Acer platanoides";"klon pospolity";"20110801"
"";"średni";"52.260581";"Praga Północ";"ul. ŁOCHOWSKA";"Ulica ŁOCHOWSKA";"15";"4";"31";"Warszawa";"Dzielnica Praga Północ";"7504035";"5";"5791894.00181818";"D209696";"21.059101";5423;"Robinia pseudoacacia 'Umbraculifera'";"robinia biała ""Umbraculifera""";"20110801"
"";"dobry";"52.260653";"Praga Północ";"ul. ŁOCHOWSKA";"Ulica ŁOCHOWSKA";"50";"6";"92";"Warszawa";"Dzielnica Praga Północ";"7504064";"13";"5791902.00181818";"D209697";"21.059526";5424;"Acer platanoides";"klon pospolity";"20110801"
"";"dobry";"52.260671";"Praga Północ";"ul. ŁOCHOWSKA";"Ulica ŁOCHOWSKA";"70";"10";"165";"Warszawa";"Dzielnica Praga Północ";"7504068";"17";"5791904.00181818";"D209698";"21.059584";5425;"Acer saccharinum";"klon srebrzysty";"20110801"
"";"dobry";"52.260572";"Praga Północ";"ul. ŁOCHOWSKA";"Ulica ŁOCHOWSKA";"50";"7";"106";"Warszawa";"Dzielnica Praga Północ";"7504067";"16";"5791893.00181818";"D209699";"21.059569";5426;"Acer platanoides";"klon pospolity";"20110801"
"";"dobry";"52.260778";"Praga Północ";"ul. ŁOCHOWSKA";"Ulica ŁOCHOWSKA";"60";"8";"139";"Warszawa";"Dzielnica Praga Północ";"7504113";"15";"5791916.00181818";"D209700";"21.060243";5427;"Acer platanoides";"klon pospolity";"20110801"
"";"dobry";"52.261238";"Praga Północ";"ul. ZACHARIASZA";"Ulica ZACHARIASZA";"80";"8";"253";"Warszawa";"Dzielnica Praga Północ";"7503996";"20";"5791967.00181818";"D209702";"21.05853";5428;"Populus nigra";"topola czarna";"20110801"
"";"zły";"52.261332";"Praga Północ";"ul. ZACHARIASZA";"Ulica ZACHARIASZA";"40";"5";"64";"Warszawa";"Dzielnica Praga Północ";"7503991.47916084";"6";"5791977.52265734";"D209704";"21.058464";5429;"Malus  sp.";"jabłoń  sp.";"20110801"
