"u_nazwa","u_stocznia","u_wrak","u_typ"
"SM UB-65","AG Vulcan Stettin","Point(-5.005 50.611)","Okręty podwodne typu UBIII"
"SM UB-81","AG Weser","Point(-0.883333 50.45)","Okręty podwodne typu UBIII"
"SM UC-71","Blohm + Voss","Point(7.9 54.16666667)","okręty podwodne typu UC II"
"SM U-103","AG Weser","Point(-4.85 49.26666667)",
"SM U-118","AG Vulcan Stettin",,"okręty podwodne typu UE II"
"SM U-152","Friedrich Krupp Germaniawerft",,"okręty podwodne typu U 151"
"SM U-152","Reiherstieg Schiffswerfte & Maschinenfabrik",,"okręty podwodne typu U 151"
"SM U-156","Friedrich Krupp Germaniawerft",,"okręty podwodne typu U 151"
"SM U-156","Atlas Werke",,"okręty podwodne typu U 151"
"SM U-17","Kaiserliche Werft Gdańsk",,"German Type U 17 submarine"
"SM U-18","Kaiserliche Werft Gdańsk","Point(-2.91666667 58.68333333)","German Type U 17 submarine"
"SM U-30","Kaiserliche Werft Gdańsk","Point(6.66833333 53.55194444)",
"SM U-32","Friedrich Krupp Germaniawerft","Point(13.28 36.07)","Okręty podwodne typu U-31"
"SM U-34","Friedrich Krupp Germaniawerft",,"Okręty podwodne typu U-31"
"SM U-38","Friedrich Krupp Germaniawerft",,"Okręty podwodne typu U-31"
"SM U-4","Kaiserliche Werft Gdańsk",,
"SM U-41",,"Point(-7.33333333 49.16666667)","Okręty podwodne typu U-31"
"SM U-45","Kaiserliche Werft Gdańsk",,
"SM U-49","Kaiserliche Werft Gdańsk","Point(-14.7 46.28333333)",
"SM U-50","Kaiserliche Werft Gdańsk","Point(4.16666667 55.25)",
"SM U-54",,,
"SM U-59","AG Weser","Point(7.25 55.55)",
"SM U-60","AG Weser",,
"SM U-62","AG Weser",,
"Niemiecki okręt podwodny U-72","Bremer Vulkan","Point(18.68333333 42.5)","okręty podwodne typu UE I"
"Niemiecki okręt podwodny U-73","Kaiserliche Werft Gdańsk","Point(13.83333333 44.86666667)","okręty podwodne typu UE I"
"Niemiecki okręt podwodny U-81","Friedrich Krupp Germaniawerft","Point(-13.63333333 51.55)",
"U-378","Howaldtswerke-Deutsche Werft","Point(-28.45 47.6667)","Okręty podwodne typu VIIC"
"German submarine U-758","Kriegsmarinewerft Wilhelmshaven",,"Okręty podwodne typu VIIC"
"German submarine U-353","Flensburger Schiffbau-Gesellschaft","Point(-29.5 53.9)","Okręty podwodne typu VIIC"
"German submarine U-578","Blohm + Voss",,"Okręty podwodne typu VIIC"
